,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36
0.36,16256.57,14144.71,12610.55,12018.8,10495.68,9757.561,9848.531,8877.27,8182.567,8419.292,7856.086,11064.77,21539.16
0.34,14237.52,12840.56,11884.22,10702.14,9601.342,9031.816,8940.983,7996.75,7452.077,7628.571,7746.36,12047.8,16535.7
0.32,20443.84,16068.98,14939.85,17448.09,12846.05,12122.25,11174.39,12929.56,15449.08,16323.8,24781.97,37456.72,45830.2
0.3,20678.55,19463.05,19656.23,9274.728,11936.51,10573.43,10143.04,11598.35,11727.97,11507.87,17890.88,17315.55,21222.13
0.28,17555.47,17666.95,10601.68,12700.18,10088.24,9457.307,9169.971,12095.82,9663.977,9599.262,17628.5,18606.82,20165.12
0.26,12026.58,10207.21,11951.11,9163.541,11298.78,7945.307,8894.737,7719.949,12945.15,10548.74,18494.68,18771.93,20577.8
0.24,10344.79,9064.783,8755.117,7842.241,7038.006,6766.467,6607.182,6569.186,8681.032,9671.599,12236.91,10887.97,13501.21
0.22,10060.45,,7973.908,7485.903,6590.337,6266.907,5856.68,5856.923,7286.211,6596.969,7737.812,6280.054,13062.3
0.2,9738.945,8981.894,8339.788,7135.317,6392.492,6018.819,5757.568,5832.664,6450.236,13025.79,8941.645,7645.435,5128.925
0.18,9606.334,7785.242,7174.25,6486.639,5993.824,5763.63,5388.722,5106.374,4950.856,4747.76,5749.815,4477.987,6576.82
0.16,9038.379,7738.579,6800.52,6028.058,5835.033,5548.944,5232.342,4943.79,4747.872,4358.998,4483.949,5557.142,5041.775
0.14,8465.575,7694.176,6664.415,6023.972,5542.838,5224.547,4770.595,4563.802,4359.881,4132.128,3947.047,3873.621,3674.942
0.12,7877.785,7038.798,6436.289,5825.16,5370.306,5030.353,4671.548,4457.51,4153.966,3948.431,3710.984,3768.617,3432.112
